licensePlate,longitude,latitude,city,state,speed
65D A32,90.504966,-80.0439535,Hillmouth,North Dakota,64
TWF-643,-114.075046,21.485784,Coreytown,Montana,97
5-43035F,13.645575,-39.677574,East Robertborough,Missouri,79
6SO F27,-36.242144,19.342295,East Christopher,Delaware,78
134-UNU,40.593742,69.040499,East Kimberly,Oregon,103
HW 9257,-24.328756,48.8220385,Clarkeport,Wyoming,64
3LC C91,-150.67467,-51.910518,Natashashire,New York,98
X52 7KN,41.681338,48.126537,East Linda,Indiana,64
046 JW0,-22.25504,-28.518223,South Suzannemouth,West Virginia,86
YRW 514,56.709829,-34.143066,West Mark,Montana,94
4547 QZ,23.733589,85.822956,Torresburgh,Utah,94
MXC 748,-44.89683,-7.7387105,Jameshaven,Nebraska,83
383 YBV,-125.870113,82.292315,North Beth,Wisconsin,60
519-285,15.751713,79.1533945,New Walter,Kentucky,83
449 FUF,52.734847,-64.3425475,North Harold,Georgia,88
251-484,-143.067531,71.9559315,Anthonyburgh,Oregon,84
57-72516,-136.559778,-72.6193735,Lake Rachel,Rhode Island,76
B29 0MJ,60.810817,10.7961845,Port Valerie,Iowa,73
BUL3986,59.362886,62.981794,Erichaven,West Virginia,106
O64 6FD,13.855329,50.087318,Morrismouth,Wyoming,97
2UY 451,133.503773,83.248137,New Linda,New Mexico,88
374-LRB,62.183439,-72.22663,Smithfort,Vermont,94
6C N5133,90.458436,-89.039373,Gilbertburgh,Florida,87
G91 5JC,80.22751,19.3931015,Millermouth,Tennessee,105
CVO-272,-36.086916,8.047019,North Kevin,Kansas,97
83PM026,-158.796148,12.4102335,South Patrickside,Rhode Island,76
12J E96,-60.540968,-8.2072155,Rebeccaborough,Idaho,100
094 7BR,131.143021,10.7117685,Fordtown,Idaho,96
03BX6,-174.367249,1.56806,North Rebeccaborough,Hawaii,76
1W 29832,-84.07226,-32.6451665,Laurenburgh,Wyoming,72
ELW0450,-147.479666,-72.012712,North Ryanhaven,Arkansas,63
SQC 426,-167.754044,-65.3099525,Reneebury,Kentucky,66
56J 6802,67.19467,40.6541595,East Billybury,Michigan,107
HBC-8913,159.14858,66.485249,Michelleland,North Dakota,98
034 7500,179.492383,-89.116893,Landryside,Arkansas,75
ALH 8465,6.569947,-4.78423,North Ralph,Utah,64
HFA 715,21.880152,48.429917,North Jillian,Virginia,83
YBP-5137,-14.23065,28.6419655,West Sierrashire,North Dakota,106
748T,154.674508,-44.6985655,West Amy,Rhode Island,67
282-GXNQ,98.38849,-3.1489545,Wrightberg,Georgia,72
181 NLS,-162.298128,-9.727667,Josephside,Massachusetts,90
731S7,-38.454715,-0.311301,Nicholaschester,North Carolina,79
S73 3XZ,-172.723383,55.026017,New Veronicachester,Montana,69
7VE3733,-23.42309,69.2623625,North Davidstad,Illinois,89
35T 2205,-25.12092,-9.451485,Port Tinafort,Virginia,78
9B G7142,-78.932957,-68.3252705,East Kristopherstad,Michigan,99
EKG 705,164.939429,48.9970905,Lake Robertbury,Indiana,96
B 355641,-45.99163,-51.7532165,North Mary,Montana,96
441LP,-1.514345,-68.495427,Andersonmouth,Tennessee,83
078 8848,-68.19684,40.0282755,Brownborough,West Virginia,66
336-GFD,-153.970695,-14.918639,Summerfurt,Florida,108
ATU-438,-47.121165,65.3144405,Justinside,Alabama,78
558HUX,-167.726985,-10.767312,Port Brenda,Indiana,100
331BR,17.578316,-86.83432,East Jacobshire,North Dakota,77
7UQW 19,39.912859,8.07443,Port Timothy,Missouri,102
177JFY,-1.96779,-66.234713,West Markside,New Mexico,105
BPG 1671,1.739183,68.7206495,Jasminestad,Missouri,68
2934,-27.788473,15.72653,Terristad,Indiana,85
53U N07,-46.035785,60.1924045,South Marcland,Vermont,101
315EYC,22.135487,-7.9095785,New Thomas,Missouri,62
5E 6P6JNC,-140.136499,70.708252,Macdonaldfurt,Michigan,72
MVV8319,66.794063,-28.851042,Joneschester,Massachusetts,105
XRA5126,-61.562116,23.999998,Jacksonbury,Hawaii,73
363607,-21.05682,58.599072,Sotofurt,Missouri,64
ITS 261,-70.327637,26.542218,Elliottmouth,Idaho,88
HBQ-2572,40.019981,72.857683,Samanthabury,Michigan,98
ZJD 629,152.73194,55.9670145,West Tinaview,Maryland,64
870 QZY,-148.703967,24.3712415,Guzmanside,Tennessee,104
94N R18,-72.486356,43.9572185,East Calvin,Colorado,110
NC-1381,-155.131047,-74.5085505,West Angela,Louisiana,101
615-EOF,-81.936006,-64.087319,South Christopherberg,Missouri,82
ZRG 229,-114.145585,-35.8639735,Gomezview,Nebraska,97
3OF 785,142.913409,55.3731325,Port Larryfurt,Wisconsin,66
GEU-8861,-104.434084,-87.606819,Phillipston,Arkansas,93
1YM 058,27.022953,-68.7373555,Port Jason,South Dakota,65
659 2TM,164.674848,40.8181615,South Ricardoland,North Dakota,93
IC 8981,167.072243,7.2616265,West Vincent,Indiana,90
GVX-392,141.604482,-47.831497,Port Terry,Nevada,79
3D 07434,52.823342,-78.7094645,Brittanyview,Massachusetts,79
511 KNY,30.572233,44.833762,New Kara,Nebraska,94
992 RTV,-36.966545,54.3558825,North Mindyshire,New Mexico,68
12YE143,-38.784244,-18.045336,Aprilstad,Kentucky,78
J01-96E,-124.096333,-32.959003,Hardinstad,Arizona,70
Q70 7DX,-174.981915,-64.7685345,Lake Joseph,North Dakota,107
7942,-132.164425,81.2567175,Hoffmanmouth,Maryland,95
536-ITS,-92.505588,89.106439,North Tracyshire,Delaware,68
733 0163,-159.60494,-35.9046985,Pattersonburgh,Nebraska,87
DPS 289,-128.853158,57.7855365,South Kathleenmouth,North Dakota,71
6C521,162.805557,83.911084,Matthewchester,Alaska,71
639 UIS,120.045697,-67.3779835,Kylemouth,Virginia,76
89Y UM5,76.601925,18.822105,West Margaretbury,Oregon,67
7U AI647,-172.305203,-3.034217,Coxborough,Delaware,74
ZMU 533,131.426697,-2.4908565,Rhondaview,Tennessee,73
4-60374,152.48721,65.5324745,Lake Phillipview,South Carolina,66
7-9353Z,-57.158799,61.2199225,Blaketown,New Jersey,86
038 JRH,103.303023,-45.005332,South Carolynborough,Idaho,85
S81-44H,167.719589,-61.486657,East Jenniferhaven,North Dakota,89
88-38840,-74.669093,67.1062435,Port Monicachester,Iowa,63
OEG 251,14.751089,-20.206317,Lake Nicholasville,Idaho,82
1194 CK,-161.824173,-24.9993055,Isabelville,Arkansas,85
VE4 8892,11.995467,-4.229797,Donaldshire,South Carolina,107
0J 6Y3DMH,43.664235,23.514563,Johnburgh,Alabama,104
FA0 F3K,78.490268,86.1548975,Andradechester,Virginia,108
631 5LE,-65.62724,-71.521776,New Courtney,Rhode Island,83
RTQ-9436,-28.459851,-55.560977,Calebbury,New York,74
3O 2578F,175.073441,68.161449,Fordmouth,Iowa,81
XFN 091,-96.41906,77.5744815,West Carlaport,South Carolina,109
E32 8GH,-68.404799,12.141175,North Debra,Delaware,82
ZDL 313,-73.978441,72.3000165,Christinaside,Michigan,99
3ILZ179,70.381067,-81.811043,Vasquezmouth,Florida,83
681-363,31.204854,-7.5187795,Colemantown,New York,78
07K 8798,142.4863,35.081842,Kiddmouth,Minnesota,75
037-QHM,89.346526,-35.433794,East Emilyshire,Illinois,80
6-5739V,96.845001,78.21081,West Victor,Virginia,82
542NES,-39.521882,-31.0913955,North Adam,Louisiana,100
D90-PFH,-106.103698,78.933231,East Richard,Illinois,98
31BH4,-61.423853,-57.5880865,Taylorhaven,North Dakota,96
692GWT,-158.59078,-78.525166,Lisafort,Mississippi,91
85-97226,-133.792909,24.459386,Hallview,Massachusetts,60
897 UQ8,-53.76,63.1762505,South John,Kentucky,102
8Y 31422,12.458571,-35.6868285,New Michaelshire,Iowa,65
A45 3IN,-127.042584,-14.3985775,Jefferyton,Oregon,73
1YNB769,140.257456,-45.0196095,Wagnermouth,New Jersey,82
2PH 813,-45.218407,11.59048,Smallstad,Mississippi,60
